Sample in Buffer,Sample in Window,TRIGGER,D_IBUF[7:0],A_OBUF[7:0],event_data_in_channel_halt,m_axis_status_tvalid,event_tlast_missing,m_axis_status_tready,event_frame_started,event_tlast_unexpected,event_status_channel_halt,event_data_out_channel_halt,fw[31:0]
Radix - UNSIGNED,UNSIGNED,UNSIGNED,UNSIGNED,UNSIGNED,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,SIGNED
0,0,0,85,153,0,0,0,0,0,0,0,0,120258560
1,1,0,85,153,0,0,0,0,0,0,0,0,120258560
2,2,0,85,153,0,0,0,0,0,0,0,0,120258560
3,3,0,85,153,0,0,0,0,0,0,0,0,120258560
4,4,0,85,153,0,0,0,0,0,0,0,0,120258560
5,5,0,85,153,0,0,0,0,0,0,0,0,120258560
6,6,0,85,153,0,0,0,0,0,0,0,0,120258560
7,7,0,85,153,0,0,0,0,0,0,0,0,120258560
8,8,0,85,153,0,0,0,0,0,0,0,0,120258560
9,9,0,85,153,0,0,0,0,0,0,0,0,120258560
10,10,0,85,153,0,0,0,0,0,0,0,0,120258560
11,11,0,85,148,0,0,0,0,0,0,0,0,120258560
12,12,0,85,148,0,0,0,0,0,0,0,0,120258560
13,13,0,85,148,0,0,0,0,0,0,0,0,120258560
14,14,0,85,148,0,0,0,0,0,0,0,0,120258560
15,15,0,85,148,0,0,0,0,0,0,0,0,120258560
16,16,0,85,148,0,0,0,0,0,0,0,0,120258560
17,17,0,85,148,0,0,0,0,0,0,0,0,120258560
18,18,0,85,148,0,0,0,0,0,0,0,0,120258560
19,19,0,85,148,0,0,0,0,0,0,0,0,120258560
20,20,0,85,148,0,0,0,0,0,0,0,0,120258560
21,21,0,85,148,0,0,0,0,0,0,0,0,120258560
22,22,0,85,148,0,0,0,0,0,0,0,0,120258560
23,23,0,85,148,0,0,0,0,0,0,0,0,120258560
24,24,0,85,148,0,0,0,0,0,0,0,0,120258560
25,25,0,85,148,0,0,0,0,0,0,0,0,120258560
26,26,0,85,148,0,0,0,0,0,0,0,0,120258560
27,27,0,85,148,0,0,0,0,0,0,0,0,120258560
28,28,0,85,148,0,0,0,0,0,0,0,0,120258560
29,29,0,85,148,0,0,0,0,0,0,0,0,120258560
30,30,0,85,148,0,0,0,0,0,0,0,0,120258560
31,31,0,85,142,0,0,0,0,0,0,0,0,120258560
32,32,0,76,142,0,0,0,0,0,0,0,0,120258560
33,33,0,76,142,0,0,0,0,0,0,0,0,120258560
34,34,0,76,142,0,0,0,0,0,0,0,0,120258560
35,35,0,76,142,0,0,0,0,0,0,0,0,120258560
36,36,0,76,142,0,0,0,0,0,0,0,0,120258560
37,37,0,76,142,0,0,0,0,0,0,0,0,120258560
38,38,0,76,142,0,0,0,0,0,0,0,0,120258560
39,39,0,76,142,0,0,0,0,0,0,0,0,120258560
40,40,0,76,142,0,0,0,0,0,0,0,0,120258560
41,41,0,76,142,0,0,0,0,0,0,0,0,120258560
42,42,0,76,142,0,0,0,0,0,0,0,0,120258560
43,43,0,76,142,0,0,0,0,0,0,0,0,120258560
44,44,0,76,142,0,0,0,0,0,0,0,0,120258560
45,45,0,76,142,0,0,0,0,0,0,0,0,120258560
46,46,0,76,142,0,0,0,0,0,0,0,0,120258560
47,47,0,76,142,0,0,0,0,0,0,0,0,120258560
48,48,0,76,142,0,0,0,0,0,0,0,0,120258560
49,49,0,76,142,0,0,0,0,0,0,0,0,120258560
50,50,0,76,142,0,0,0,0,0,0,0,0,120258560
51,51,0,76,135,0,0,0,0,0,0,0,0,120258560
52,52,0,76,135,0,0,0,0,0,0,0,0,120258560
53,53,0,76,135,0,0,0,0,0,0,0,0,120258560
54,54,0,76,135,0,0,0,0,0,0,0,0,120258560
55,55,0,76,135,0,0,0,0,0,0,0,0,120258560
56,56,0,76,135,0,0,0,0,0,0,0,0,120258560
57,57,0,76,135,0,0,0,0,0,0,0,0,120258560
58,58,0,76,135,0,0,0,0,0,0,0,0,120258560
59,59,0,76,135,0,0,0,0,0,0,0,0,120258560
60,60,0,76,135,0,0,0,0,0,0,0,0,120258560
61,61,0,76,135,0,0,0,0,0,0,0,0,120258560
62,62,0,76,135,0,0,0,0,0,0,0,0,120258560
63,63,0,76,135,0,0,0,0,0,0,0,0,120258560
64,64,0,76,135,0,0,0,0,0,0,0,0,120258560
65,65,0,76,135,0,0,0,0,0,0,0,0,120258560
66,66,0,76,135,0,0,0,0,0,0,0,0,120258560
67,67,0,76,135,0,0,0,0,0,0,0,0,120258560
68,68,0,76,135,0,0,0,0,0,0,0,0,120258560
69,69,0,76,135,0,0,0,0,0,0,0,0,120258560
70,70,0,76,135,0,0,0,0,0,0,0,0,120258560
71,71,0,76,128,0,0,0,0,0,0,0,0,120258560
72,72,0,76,128,0,0,0,0,0,0,0,0,120258560
73,73,0,76,128,0,0,0,0,0,0,0,0,120258560
74,74,0,76,128,0,0,0,0,0,0,0,0,120258560
75,75,0,76,128,0,0,0,0,0,0,0,0,120258560
76,76,0,76,128,0,0,0,0,0,0,0,0,120258560
77,77,0,76,128,0,0,0,0,0,0,0,0,120258560
78,78,0,76,128,0,0,0,0,0,0,0,0,120258560
79,79,0,76,128,0,0,0,0,0,0,0,0,120258560
80,80,0,76,128,0,0,0,0,0,0,0,0,120258560
81,81,0,76,128,0,0,0,0,0,0,0,0,120258560
82,82,0,76,128,0,0,0,0,0,0,0,0,120258560
83,83,0,76,128,0,0,0,0,0,0,0,0,120258560
84,84,0,76,128,0,0,0,0,0,0,0,0,120258560
85,85,0,76,128,0,0,0,0,0,0,0,0,120258560
86,86,0,76,128,0,0,0,0,0,0,0,0,120258560
87,87,0,76,128,0,0,0,0,0,0,0,0,120258560
88,88,0,76,128,0,0,0,0,0,0,0,0,120258560
89,89,0,76,128,0,0,0,0,0,0,0,0,120258560
90,90,0,76,128,0,0,0,0,0,0,0,0,120258560
91,91,0,76,121,0,0,0,0,0,0,0,0,120258560
92,92,0,76,121,0,0,0,0,0,0,0,0,120258560
93,93,0,76,121,0,0,0,0,0,0,0,0,120258560
94,94,0,76,121,0,0,0,0,0,0,0,0,120258560
95,95,0,76,121,0,0,0,0,0,0,0,0,120258560
96,96,0,76,121,0,0,0,0,0,0,0,0,120258560
97,97,0,76,121,0,0,0,0,0,0,0,0,120258560
98,98,0,76,121,0,0,0,0,0,0,0,0,120258560
99,99,0,76,121,0,0,0,0,0,0,0,0,120258560
100,100,0,76,121,0,0,0,0,0,0,0,0,120258560
101,101,0,76,121,0,0,0,0,0,0,0,0,120258560
102,102,0,76,121,0,0,0,0,0,0,0,0,120258560
103,103,0,76,121,0,0,0,0,0,0,0,0,120258560
104,104,0,76,121,0,0,0,0,0,0,0,0,120258560
