Sample in Buffer,Sample in Window,TRIGGER,D_IBUF[7:0],A_OBUF[7:0],amp_d[8:0],amp_d_signed[7:0],mult_full__0[15:0],user_probe_0[8:0],amp_d_signed_avg[7:0]
Radix - UNSIGNED,UNSIGNED,UNSIGNED,UNSIGNED,UNSIGNED,SIGNED,SIGNED,HEX,SIGNED,UNSIGNED
0,0,0,104,128,27,27,f38e,-114,27
1,1,0,104,128,27,27,f38e,-114,27
2,2,0,104,128,27,27,f38e,-114,27
3,3,0,104,128,27,27,f38e,-114,27
4,4,0,104,128,27,27,f38e,-114,27
5,5,0,104,128,27,27,f38e,-114,27
6,6,0,104,128,27,27,f38e,-114,27
7,7,0,104,128,27,27,f358,-168,27
8,8,0,104,128,27,27,f358,-168,27
9,9,0,104,128,27,27,f358,-168,27
10,10,0,104,128,27,27,f358,-168,27
11,11,0,104,128,27,27,f358,-168,27
12,12,0,104,128,27,27,f358,-168,27
13,13,0,104,128,27,27,f358,-168,27
14,14,0,104,128,27,27,f358,-168,27
15,15,0,104,128,27,27,f358,-168,27
16,16,0,104,128,27,27,f358,-168,27
17,17,0,104,128,27,27,f358,-168,27
18,18,0,104,128,27,27,f358,-168,27
19,19,0,104,128,27,27,f358,-168,27
20,20,0,104,128,27,27,f358,-168,27
21,21,0,104,128,27,27,f358,-168,27
22,22,0,104,128,27,27,f358,-168,27
23,23,0,104,128,27,27,f358,-168,27
24,24,0,104,128,27,27,f358,-168,27
25,25,0,104,128,27,27,f358,-168,27
26,26,0,104,128,27,27,f358,-168,27
27,27,0,104,128,27,27,f322,-222,27
28,28,0,106,128,27,27,f322,-222,27
29,29,0,106,128,27,27,f322,-222,27
30,30,0,106,128,27,27,f322,-222,27
31,31,0,106,128,27,27,f322,-222,27
32,32,0,106,128,27,27,f322,-222,27
33,33,0,106,128,27,27,f322,-222,27
34,34,0,106,128,27,27,f322,-222,27
35,35,0,106,128,27,27,f322,-222,27
36,36,0,106,128,27,27,f322,-222,27
37,37,0,106,128,27,27,f322,-222,27
38,38,0,106,128,27,27,f322,-222,27
39,39,0,106,128,27,27,f322,-222,27
40,40,0,106,128,27,27,f322,-222,27
41,41,0,106,128,27,27,f322,-222,27
42,42,0,106,128,27,27,f322,-222,27
43,43,0,106,128,27,27,f322,-222,27
44,44,0,106,128,27,27,f322,-222,27
45,45,0,106,128,27,27,f322,-222,27
46,46,0,106,128,27,27,f322,-222,27
47,47,0,106,128,27,27,f307,-249,27
48,48,0,106,128,27,27,f307,-249,27
49,49,0,106,128,27,27,f307,-249,27
50,50,0,106,128,27,27,f307,-249,27
51,51,0,106,128,27,27,f307,-249,27
52,52,0,106,128,27,27,f307,-249,27
53,53,0,106,128,27,27,f307,-249,27
54,54,0,106,128,27,27,f307,-249,27
55,55,0,106,128,27,27,f307,-249,27
56,56,0,106,128,27,27,f307,-249,27
57,57,0,106,128,27,27,f307,-249,27
58,58,0,106,128,27,27,f307,-249,27
59,59,0,106,128,27,27,f307,-249,27
60,60,0,106,128,27,27,f307,-249,27
61,61,0,106,128,27,27,f307,-249,27
62,62,0,106,128,27,27,f307,-249,27
63,63,0,106,128,27,27,f307,-249,27
64,64,0,106,128,27,27,f307,-249,27
65,65,0,106,128,27,27,f307,-249,27
66,66,0,106,128,27,27,f307,-249,27
67,67,0,106,128,27,27,f2ec,-20,27
68,68,0,106,128,27,27,f2ec,-20,27
69,69,0,106,128,27,27,f2ec,-20,27
70,70,0,106,128,27,27,f2ec,-20,27
71,71,0,106,128,27,27,f2ec,-20,27
72,72,0,106,128,27,27,f2ec,-20,27
73,73,0,106,128,27,27,f2ec,-20,27
74,74,0,106,128,27,27,f2ec,-20,27
75,75,0,106,128,27,27,f2ec,-20,27
76,76,0,106,128,27,27,f2ec,-20,27
77,77,0,106,128,27,27,f2ec,-20,27
78,78,0,106,128,27,27,f2ec,-20,27
79,79,0,106,128,27,27,f2ec,-20,27
80,80,0,106,128,27,27,f2ec,-20,27
81,81,0,106,128,27,27,f2ec,-20,27
82,82,0,106,128,27,27,f2ec,-20,27
83,83,0,106,128,27,27,f2ec,-20,27
84,84,0,106,128,27,27,f2ec,-20,27
85,85,0,106,128,27,27,f2ec,-20,27
86,86,0,106,128,27,27,f2ec,-20,27
87,87,0,106,128,27,27,f2d1,-47,27
88,88,0,106,128,27,27,f2d1,-47,27
89,89,0,106,128,27,27,f2d1,-47,27
90,90,0,106,128,27,27,f2d1,-47,27
91,91,0,106,128,27,27,f2d1,-47,27
92,92,0,106,128,27,27,f2d1,-47,27
93,93,0,106,128,27,27,f2d1,-47,27
94,94,0,106,128,27,27,f2d1,-47,27
95,95,0,106,128,27,27,f2d1,-47,27
96,96,0,106,128,27,27,f2d1,-47,27
97,97,0,106,128,27,27,f2d1,-47,27
98,98,0,106,128,27,27,f2d1,-47,27
99,99,0,106,128,27,27,f2d1,-47,27
100,100,0,106,128,27,27,f2d1,-47,27
101,101,0,106,128,27,27,f2d1,-47,27
102,102,0,106,128,27,27,f2d1,-47,27
103,103,0,106,128,27,27,f2d1,-47,27
104,104,0,106,128,27,27,f2d1,-47,27
105,105,0,106,128,27,27,f2d1,-47,27
106,106,0,106,128,27,27,f2d1,-47,27
107,107,0,106,128,27,27,f2b6,-74,27
108,108,0,106,128,27,27,f2b6,-74,27
109,109,0,106,128,27,27,f2b6,-74,27
110,110,0,106,128,27,27,f2b6,-74,27
111,111,0,106,128,27,27,f2b6,-74,27
